time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
1768819178.135498   36.504    0.913    0.748    -2.602    -0.724 | -3.651    2.379    0.029
1768819178.161625   19.754    0.494    2.466    -2.698    0.124 | -3.951    2.472    0.107
1768819178.194812   37.981    0.950    1.923    -2.970    -0.120 | -3.951    2.472    0.107
1768819178.226462   23.234    0.581    0.440    -2.717    0.757 | -4.248    2.548    0.232
1768819178.260592   31.743    0.794    3.000    0.759    -0.412 | -4.248    2.548    0.232
1768819178.293156   34.438    0.861    2.287    -2.496    -0.917 | -4.616    2.541    0.322
1768819178.330460   18.646    0.466    -1.466    0.024    -1.000 | -4.616    2.541    0.322
1768819178.367999   17.031    0.426    -2.776    -1.590    -0.598 | -4.865    2.560    0.321
1768819178.405416   0.000    0.000    -1.352    -3.000    -0.429 | -4.865    2.560    0.321
1768819178.442735   6.286    0.157    -2.574    -3.000    -0.842 | -5.146    2.619    0.229
1768819178.482009   33.813    0.845    0.288    -2.522    -0.569 | -5.146    2.619    0.229
1768819178.516620   32.056    0.801    -2.282    -3.000    -0.740 | -5.416    2.685    0.162
1768819178.547737   36.705    0.918    -1.213    -2.263    0.831 | -5.416    2.685    0.162
1768819178.577900   5.923    0.148    2.462    -0.819    0.189 | -5.715    2.772    0.104
1768819178.612821   25.015    0.625    0.993    -2.348    -0.381 | -5.715    2.772    0.104
1768819178.643465   40.000    1.000    -2.542    2.669    1.000 | -5.984    2.901    0.097
1768819178.673087   36.233    0.906    -2.212    -0.754    -0.376 | -5.984    2.901    0.097
1768819178.704906   27.444    0.686    3.000    2.512    0.044 | -6.157    3.021    0.130
1768819178.735915   40.000    1.000    -1.221    0.090    -0.089 | -6.157    3.021    0.130
1768819178.769866   8.439    0.211    -3.000    -0.579    0.358 | -6.351    3.187    0.207
1768819178.809218   32.692    0.817    -1.447    1.620    -0.932 | -6.466    3.319    0.257
1768819178.848731   0.000    0.000    -0.347    2.422    0.283 | -6.466    3.319    0.257
1768819178.879823   40.000    1.000    -0.526    2.721    -0.617 | -6.666    3.527    0.272
1768819178.913142   40.000    1.000    -2.263    3.000    0.598 | -6.666    3.527    0.272
1768819178.947738   5.390    0.135    -2.307    1.343    0.713 | -6.917    3.677    0.235
1768819178.979491   35.031    0.876    -3.000    3.000    1.000 | -6.917    3.677    0.235
1768819179.011727   28.144    0.704    -3.000    -0.128    -0.700 | -7.161    3.808    0.202
1768819179.037316   40.000    1.000    -1.905    0.998    0.236 | -7.161    3.808    0.202
1768819179.064473   40.000    1.000    0.923    2.977    0.871 | -7.423    3.956    0.200
1768819179.094332   40.000    1.000    -3.000    2.498    0.558 | -7.423    3.956    0.200
1768819179.126132   31.980    0.799    1.030    2.627    0.757 | -7.574    4.053    0.213
1768819179.156024   40.000    1.000    -1.250    0.488    1.000 | -7.574    4.053    0.213
1768819179.185773   33.865    0.847    -0.713    1.486    0.440 | -7.734    4.208    0.264
1768819179.218470   25.891    0.647    -2.211    1.577    -0.238 | -7.734    4.208    0.264
1768819179.252772   14.787    0.370    1.000    0.938    0.325 | -7.875    4.403    0.376
1768819179.283408   37.086    0.927    -0.728    2.240    -0.512 | -7.875    4.403    0.376
1768819179.313619   22.809    0.570    2.615    0.699    1.000 | -7.925    4.554    0.443
1768819179.345089   3.242    0.081    1.891    2.328    0.122 | -7.925    4.554    0.443
1768819179.379342   40.000    1.000    3.000    0.368    0.957 | -7.899    4.786    0.441
1768819179.411786   11.303    0.283    2.883    1.679    0.086 | -7.899    4.786    0.441
1768819179.444579   0.000    0.000    3.000    2.666    0.987 | -7.862    5.043    0.456
1768819179.475176   19.137    0.478    0.308    2.644    -0.041 | -7.862    5.043    0.456
1768819179.506029   33.632    0.841    2.879    0.230    0.272 | -7.848    5.193    0.460
1768819179.540900   16.222    0.406    2.552    3.000    0.147 | -7.848    5.193    0.460
1768819179.578089   26.992    0.675    3.000    3.000    0.968 | -7.819    5.499    0.471
1768819179.607509   31.541    0.789    2.354    1.149    -0.407 | -7.819    5.499    0.471
1768819179.635952   33.016    0.825    2.627    2.201    0.191 | -7.817    5.692    0.484
1768819179.689854   12.368    0.309    3.000    2.019    0.479 | -7.817    5.692    0.484
1768819179.738633   4.572    0.114    2.799    -3.000    0.250 | -7.826    5.889    0.503
1768819179.775743   0.000    0.000    2.528    1.802    0.631 | -7.826    5.889    0.503
1768819179.816273   5.430    0.136    2.859    -0.112    -0.579 | -7.861    6.089    0.532
1768819179.850936   0.000    0.000    1.497    2.320    0.954 | -7.861    6.089    0.532
1768819179.892592   26.046    0.651    3.000    -0.081    -0.027 | -7.902    6.192    0.555
1768819179.943621   7.661    0.192    3.000    1.648    0.053 | -7.902    6.192    0.555
1768819179.981571   24.011    0.600    3.000    -1.170    -0.342 | -7.932    6.272    0.575
1768819180.020105   21.313    0.533    3.000    0.477    0.758 | -7.932    6.272    0.575
1768819180.052720   0.000    0.000    2.996    0.540    0.787 | -7.977    6.355    0.595
1768819180.082385   10.846    0.271    2.664    0.479    0.697 | -7.977    6.355    0.595
1768819180.116264   5.928    0.148    2.963    -3.000    0.964 | -8.011    6.400    0.610
1768819180.145658   24.451    0.611    3.000    -2.765    -0.275 | -8.011    6.400    0.610
1768819180.175043   40.000    1.000    3.000    -1.199    0.786 | -8.056    6.432    0.626
1768819180.201181   11.362    0.284    2.678    0.022    0.435 | -8.056    6.432    0.626
1768819180.227398   11.090    0.277    2.947    1.870    0.219 | -8.075    6.430    0.639
1768819180.260201   0.000    0.000    2.793    -1.667    0.430 | -8.075    6.430    0.639
1768819180.292344   24.346    0.609    3.000    -3.000    0.814 | -8.088    6.420    0.647
1768819180.322685   40.000    1.000    2.735    0.623    1.000 | -8.088    6.420    0.647
1768819180.351677   7.839    0.196    2.770    1.150    0.724 | -8.111    6.396    0.654
1768819180.382523   22.209    0.555    2.916    1.687    1.000 | -8.111    6.396    0.654
1768819180.418246   9.962    0.249    3.000    -3.000    0.233 | -8.143    6.364    0.660
1768819180.448522   25.306    0.633    3.000    -0.702    0.374 | -8.143    6.364    0.660
1768819180.477149   14.833    0.371    2.667    -3.000    0.322 | -8.191    6.325    0.665
1768819180.513142   36.998    0.925    3.000    -0.767    0.844 | -8.191    6.325    0.665
1768819180.546669   33.754    0.844    2.507    -1.754    1.000 | -8.245    6.256    0.669
1768819180.576262   34.598    0.865    2.837    -2.802    0.100 | -8.245    6.256    0.669
1768819180.609116   16.757    0.419    2.525    0.750    0.248 | -8.267    6.175    0.672
